anio,estado,clave_siinah,recinto,enero_nac,enero_ext,febrero_nac,febrero_ext,marzo_nac,marzo_ext,abril_nac,abril_ext,mayo_nac,mayo_ext,junio_nac,junio_ext,julio_nac,julio_ext,agosto_nac,agosto_ext,septiembre_nac,septiembre_ext,octubre_nac,octubre_ext,noviembre_nac,noviembre_ext,diciembre_nac,diciembre_ext
2024,Ciudad de México,2700100,"Centro Comunitario Culhuacán, Ex Convento de San Juan Evangelista",2955,21,3994,13,4015,8,4237,18,11077,2,4119,1,4082,9,3599,4,3775,3,5278,4,5323,12,5129,26
2024,Coahuila,2300300,Museo Regional de la Laguna,2280,16,2236,0,1502,24,2548,184,1812,4,2301,21,1409,4,1680,6,930,4,1206,10,1738,9,866,15
2024,Colima,2300400,Museo Regional de Historia de Colima,358,12,966,88,751,18,815,2,434,3,658,3,1005,7,529,4,364,0,849,3,2501,23,426,18
2024,Estado de México,2100500,Museo Nacional del Virreinato,10760,127,12630,195,16923,454,12594,244,11827,5,11376,188,11003,140,12181,230,9206,224,10801,302,11695,347,13011,191
2024,Estado de México,2501000,Museo Prehistórico de Tepexpan,453,2,624,0,336,2,395,0,441,0,318,3,245,3,226,5,322,1,801,4,1357,0,308,1
2024,Estado de México,2600200,Museo Virreinal de Acolman,2253,89,2343,77,3193,81,2400,53,2607,70,2004,43,2289,57,1983,57,1819,69,2433,100,2757,89,3701,78
2024,Estado de México,2700200,Centro Comunitario Ecatepec Casa de Morelos,1720,0,1720,0,2889,0,1765,0,2056,0,1742,0,2025,0,1517,0,3403,0,3642,0,1977,0,1360,0
2024,Estado de México,2500800,Museo de Murales Teotihuacanos Beatriz de la Fuente,1087,469,543,494,1557,1109,1017,399,612,347,1776,286,528,426,709,372,507,422,455,380,518,375,1202,435
2024,Estado de México,4100007,Ex-Convento de Oxtotipac,727,0,660,0,370,0,333,0,176,12,457,0,496,0,549,0,574,0,583,0,468,0,374,0
2024,Estado de México,4100002,Capilla Abierta del Templo de Calimaya,202,0,336,0,1050,14,253,0,350,0,346,0,208,7,198,0,492,0,334,0,556,0,1142,0
2024,Estado de México,4100001,Capilla Abierta de Tlalmanalco,480,0,557,0,790,5,697,0,750,0,1061,0,535,0,300,0,259,0,307,0,557,5,920,2
2024,Guanajuato,2300600,Museo Regional de Guanajuato Alhóndiga de Granaditas,8122,1247,9133,1259,12733,1265,10461,837,7106,529,9200,692,13026,1202,11920,925,10570,903,11764,1372,11407,1556,9829,1145
2024,Guanajuato,2401300,Museo Casa del Dr. José María Luis Mora,451,0,587,0,578,0,205,0,568,0,683,0,520,0,632,0,549,0,527,0,827,0,564,0
2024,Guanajuato,2401400,Museo Ex Convento Agustino de San Pablo,1396,79,1151,42,1618,28,1043,14,623,21,999,101,1525,111,1698,35,926,31,961,10,753,30,1498,64
2024,Guanajuato,2401200,"Museo Casa de Hidalgo ""La Francia Chiquita""",948,0,230,0,361,0,139,0,77,0,142,0,114,0,168,0,813,0,173,0,196,0,97,0
2024,Guanajuato,2401500,Museo Histórico de San Miguel de Allende,4516,140,3514,203,4990,236,3810,156,3369,130,2899,111,4523,192,4629,139,3172,105,3078,131,3484,130,4127,132
2024,Guanajuato,2600300,Casa de Hidalgo,2266,119,3101,133,4104,200,2722,91,2623,103,2382,108,2808,143,2830,142,4392,113,1711,125,2822,158,2384,234
2024,Guanajuato,4100004,Ex-Convento Agustino de Fray Juan de Sahagún,154,0,188,0,290,0,210,0,315,0,360,0,232,0,288,0,404,0,329,0,339,0,400,0
2024,Guerrero,2300700,Museo Regional de Guerrero,3077,0,1637,0,3208,0,3142,0,3294,0,2657,0,2826,0,2488,0,2462,0,3595,0,3349,0,1878,0
2024,Guerrero,2401700,Museo Guillermo Spratling,952,104,361,48,705,103,415,23,398,23,448,33,766,55,878,53,585,38,655,45,751,57,1166,57
2024,Guerrero,2401800,"Museo Histórico de Acapulco, Fuerte de San Diego",274,228,4869,63,1754,194,1412,51,1218,18,1627,152,1845,52,1952,53,1272,22,1293,281,3205,49,2079,182
2024,Hidalgo,2401900,Museo de Actopan,1359,4,2028,11,1949,15,1577,11,1351,13,1111,10,2993,45,1372,9,1446,12,1139,5,1363,23,1225,22
2024,Hidalgo,2402000,Museo de la Fotografía,2091,46,2072,36,2596,38,2289,39,1422,36,1220,9,1086,40,1975,40,1675,24,1639,11,1740,10,1459,33
